train_runs,test_run,model,train_rows,test_rows,mae_flow_p1,mae_flow_p2,mae_flow_valve1,mae_flow_outlet,avg_mae,avg_rmse,overall_r2
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_001,Mean Predictor,4639,2132,2.507929043548486,11.031921222589858,2.260192563497314,6.837800955031967,5.659460946166907,7.237186973873937,-0.045838584492135154
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_001,Linear Regression,4639,2132,4.33761671200206,2.5161249297251183,2.2495128583973614,3.0043464809408036,3.0269002452663356,5.493441653126132,0.5255260414405704
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_001,Ridge Regression,4639,2132,4.337030421787032,2.517443267199567,2.2495106093806245,3.0048152028097457,3.027199875294243,5.492998853604593,0.5256004155856069
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_001,Random Forest,4639,2132,4.291711331978575,2.1163324362344405,2.265447730578385,1.4187981825454818,2.5230724203342203,5.186529093162648,0.5679416019533476
full_cycle_run_001 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Mean Predictor,5300,1471,4.946511550350851,11.101023562459087,4.475297897720752,5.605109475007459,6.531985621384537,7.735898497180809,-0.11260909181405462
full_cycle_run_001 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Linear Regression,5300,1471,1.0763735207263665,1.4762625539150476,2.1854908149910863,1.6113000398905937,1.5873567323807736,2.457867437276585,0.9095067304959445
full_cycle_run_001 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Ridge Regression,5300,1471,1.076074593367555,1.4768265970188357,2.1859042611037016,1.6119054921932314,1.587677735920831,2.4580374747585263,0.9094834490324298
full_cycle_run_001 + full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Random Forest,5300,1471,1.4361647381710818,1.3534959457369713,2.2281867231669983,0.9048345119274165,1.480670479750617,2.7783829895444887,0.8781848992686975
full_cycle_run_001 + full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Mean Predictor,6041,730,10.408041397482455,17.324682931475138,3.80338100604775,6.593979496273157,9.532521207819626,11.460723105950189,-0.3798964897005389
full_cycle_run_001 + full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Linear Regression,6041,730,6.31701898204248,4.084583467701711,1.7336609166845005,2.3690376309179313,3.6260752493366564,4.905257352380853,0.7859933882371017
full_cycle_run_001 + full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Ridge Regression,6041,730,6.317823138487342,4.086540306782303,1.7335290325156874,2.36903142955359,3.6267309768347307,4.906016937002098,0.785911877254897
full_cycle_run_001 + full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Random Forest,6041,730,5.980326305414698,5.22026756805183,1.602182932493989,1.9402692885656392,3.685761523631539,5.669784979594665,0.6962100494671742
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Mean Predictor,5680,1091,5.984261596157953,11.733141516376012,3.446302816901489,5.182922535211224,6.586657116161669,8.099619229071543,-0.04342348398096306
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Linear Regression,5680,1091,2.9147539776151876,3.209797928494459,0.5478894929113197,2.768101798627287,2.3601357994120633,3.5736937428285644,0.8039871094971417
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Ridge Regression,5680,1091,2.915308024300881,3.211734878697958,0.5473861850870555,2.7681952104242264,2.36065607462753,3.5736401247005114,0.8039847669533721
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Random Forest,5680,1091,2.233295619686547,4.19608771203678,0.2209387559447355,0.5408964120828998,1.7978046249377408,3.911529384322064,0.6030011282142829
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Mean Predictor,5424,1347,5.3274336283184835,8.456674041297939,3.857265435261992,9.589013633486971,6.8075966845913465,7.364797243780298,-0.5125527639571632
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Linear Regression,5424,1347,0.9566399766300173,1.672474226093888,1.1254382804536893,5.657633707944159,2.3530465477804388,3.2008586431314017,0.40044346497712735
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Ridge Regression,5424,1347,0.9554634640468679,1.6712232254093415,1.1261421739080961,5.657034080909406,2.352465736068428,3.199409346409066,0.40060750541239415
full_cycle_run_001 + full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Random Forest,5424,1347,0.1473347948071133,0.20413261533520188,2.4358185822249245,2.6297508614388736,1.3542592134515283,2.426280697835616,0.5782378680824332
